observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,year
"For the past four years my family has seen a creature unidentifiable to us; these sightings have been at our home seven miles north of Porcupine, South Dakota.  The creature appears to be seven to nine feet tall and has left a couple of footprints that measured 18 inches long and 7 inches wide.  It stands up straight and has a slight hunch when walking.  We have also found hair; possible saliva mixed with grass, and dried blood stains on cactus.  There have been small trees broken on the property; they look snapped which would take such strength.  It has often been seen running at high speed, too quickly to follow. I and most family members have seen this creature continuously – not just once; sometimes days pass between sightings.","This location is near the junction of Bureau of Indian Affairs ( BIA) Highway 27 and 14 on the Pine Ridge Indian Reservation. The closest town is called Porcupine which is 35 miles Northeast of Pine Ridge, SD.",Shannon County,South Dakota,Fall,Report 5173: Large bipedal animal frequently observed by a South Dakota family,43.358509999999995,-102.3971,2002-12-04,5173,Class A,9xxntvhtws,16.79,10.739999999999998,4.69,11.73,0.94,1,0.02,0.0029,1,snow,1032.26,"Snow (< 1 in.) starting in the afternoon, continuing until evening.",1,7.86,25,2.14,2002
"My family had moved from the city of Rochester to Wolcott, a small town about 50 miles east of Rochester in July 2003. We were living in an old farmhouse on approx. 77 acres of woods & creeks near Lake Ontario. This incident happened sometime between the 18th-20th of September. My sister's birthday is the 20th and I recall a small group of family and friends were visiting the house for that occasion. My future-stepfather took a small group, including his brother, my four sisters, and a few other friends out for a ""tour"" of the property. I was not present, I had stayed behind at the house. As the group returned to the house, my stepfather lingered behind in an area of the property where a strip of woods runs between two fields. My stepfather was in the field closer to the house, we'll refer to it as field #1. He noticed to his left something in the woods and turned to see a tall, white, hair covered creature standing just off the path in the woods. He ran ahead and told his brother, but did not tell the rest of the group. His brother rushed into the house to get me, telling me that something was in the woods and I should come see. I followed him outside where my stepfather relayed the story to me and the three of us walked back to the area of his sighting. As my stepfather showed me the spot where the creature had been standing, we all noticed that the creature was still present, but had moved further back, to field #2. At this point, the three of us were standing in field 1 and looking through a small strip of trees at the creature in field 2, maybe 200 yards away or so. My observations of the creature are as follows: It was approximately 7' tall, covered in hair, white but with a dark area on the face, think and lanky, with a head that came to a slight conic shape. It was too far to distinctly see its face but there was a definite darker colored area where the face would have been. The creature was clearly observing us, as it paced back and forth, looking around trees, standing up taller, ducking down, etc. to get a better look at us. After approximately 45 seconds, the creature retreated to an area where we couldn't see it clearly. I walked through the trees into field 2 to get a better look at it, but it had disappeared. The area where it had been walking was matted down, but there were no distinct prints. Judging by nearby trees, I estimated its height to be 6.5 - 7 feet.","East on Route 104, near town of Huron.",Wayne County,New York,Fall,"Report 26566: Man observes tall, white hair-covered creature during a family gathering near Lake Ontario",43.273140000000005,-76.89331,2003-09-20,26566,Class A,dr9q4m8h21,70.3,60.379999999999995,50.46,52.06,0.67,0.35,0.81,7e-4,1,rain,1020.92,Overcast in the morning.,5,10,286,1.64,2003
"While this incident occurred a long time ago, it may be ofsome use, as I have never heard of any such sighting in North Dakota. Whilecoming back from a hunting trip outside of Minot, North Dakota in aroundthe third week of April, in 1962, a friend of mine and I were followedby a creature as we returned in the direction of the trailer park in whichwe lived. (My father was working for the Department of the Air Force onthe Missile site Installations at the time.) After walking back from somedistance out on the prairie, I had the distinct feeling that someone orsomething was following us. Eventually I became so uncomfortable that Idid look over my right shoulder and saw at a distance of about 50 yardsor so, what I thought at first was a great ape. I cannot describe to youwhat I felt at that moment. It fixed me with it's eyes and stood up onit's hind legs when it saw that it had been seen. As all I had was a singleshot .22, shooting it was out of the question. I got a real good closelook, long black shiny hair, oily looking, and it rose from all fours onto it's hind feet.(I am certain it had followed us for some time). Verytall. No hair on the face above it's nose or the palms of it's hands. Longarms. Very malevolent expression conveyed to me. I cannot overemphasizethis. It began to move in our direction. (I was with a partner). Both ofus ran as fast as we could. We didn't look back after this.","Ward County, Just outside of a the Minuteman Trailer Park,outside of Minot, North Dakota.",Ward County,North Dakota,Spring,Report 751: Hunter describes described being stalked near Minot,48.25422,-101.3166,2000-04-21,751,Class A,c8xfw2rt0n,79.51,58.955,38.4,31.01,0.32,0.34,0.6,NA,NA,rain,1011.47,Partly cloudy until evening.,6,10,237,11.14,2000
"(Please see Minot Daily News Vol.88 No.63 for March 3, 2004 for full story.)",NA,Mountrail County,North Dakota,Winter,Report 8165: Rash of sighting reports from multiple witnesses,47.72964,-102.701,2004-02-22,8165,Class A,c8qzwbzmm1,30.68,26.28,21.88,24.78,0.94,NA,0.09,1.1551,0.55,snow,NA,"Heavy snow until afternoon, starting again in the evening.",0,NA,322,1.7,2004
"I was coming home after work about 9:30 to 10 pm heading north on ridge road.  It recently rained. Something rain across the road on two legs.  It was about 50 to 100 yards away.  It appeared to be about as tall as the hood of my car. It stopped momentarily as my headlight hit, and looked at my car, and then it turned and continued to cross the road and disappeared into the woods. I was thinking, ""what the hell was that?"" I live  nearby and hunt throughout the surrounding woods. I know it wasn't a bear or any thing we normally see in the area.",forested wetland at the base of a ridge on southeast side and agricultural field on west. whatever it was it crossed west to east,Warren County,New Jersey,Summer,Report 13276: Motorist has nightime sighting near Harmony,40.76345,-75.11044,2005-12-21,13276,Class B,dr4xfuf0rc,29.43,26.54,23.65,13.71,0.64,0.38,0.69,0,0,NA,1021.73,Mostly cloudy starting in the afternoon.,2,9.91,266,2.46,2005
"My summer ecology class was hiking to Middle Fork Lake. As with most classes, some students walked faster than others. I was with the stragglers, a few of whom were suffering from the cold and thin air. The trail had only been opened, as I recall, the previous day, and ours was the first group of the season to make the ascent. Lots of snow remained in shaded areas and in many places on the trail, and it was obvious no one had walked ahead of us, although a couple of older men on four wheelers passed us at one point. We were getting fairly close, within a half mile or so, to the lake; the slope was very steep. I remember our little group went past a switchback and we were uphill from a stream. Somewhere in this stretch, crossing the trail at a right angle, was a series of very large, apparently bipedal, tracks. In shape and contour, the tracks appeared human. No details, such as toe impressions, remained or could be readily detected, but every indication was that the tracks had been made by bare feet, not boots. The students immediately starting exclaiming, “Bigfoot, bigfoot!” Doing my best to downplay the tracks, I told the students that they were probably those of a hiker and that they had become enlarged as a result of melting and refreezing. Privately, I didn’t believe that story for a second. As far as I was concerned, the impressions were the record of something extremely unusual. The tracks were huge, at least sixteen inches or more in length and quite wide. The depth of the tracks in the snow and soil was far beyond what I could duplicate; it was obvious, even to the students, that whatever or whoever made the tracks had immense weight (I told them the “hiker” was probably carrying a very heavy pack). The distance between the tracks was on the order of four feet or more, an interval that was all the more impressive considering the extreme steepness of the mountain in that area. It did not seem possible to me for any human to duplicate such a feat (so to speak) as was performed by the mysterious maker of those tracks, especially considering the conditions of snow and slope. In addition, the tracks were not headed to Middle Fork Lake. Of course, that doesn’t prove anything, but I found it strange that anyone would hike up the mountain, avoiding the trail, and heading to something besides the lake. As best as I could determine, the tracks appeared to be going in the direction of Bull-of-the-Woods Mountain.","We were on the trail to Middle Fork Lake. Approximately 36.5990º N, 105.4113º W.",Taos County,New Mexico,Spring,Report 4904: Professor and students discover series of large footprints crossing high mountain trail,36.599,-105.4113,2000-05-17,4904,Class B,9wt01q9uds,51.96,34.875,17.79,12.2,0.29,0.23,0.48,NA,NA,rain,NA,Mostly cloudy in the morning and windy until evening.,12,10,270,14.15,2000
"On Aug 26 around 2:20-2:30am my two cousins were driving back from Minot, they took the back roads to get home faster. They were about 2-3 miles from home on Counrty Road 7 when they said that they were just talking and notice on the left side in the North bound lane a large brown hairy 7-8ft tall thing was standing there, they said they were going about 50-55mph and slowed down a bit, as they passed by it they taped on the brake and in the brake lights they saw it and punched it back home, they said they were so scared that they were going aleast 90mph to get back. As they got to one of my cousins house they went and wroke my Uncle up and told him that they saw big foot. Then they drove to my house and wroke me up, so i said them ""yeah right like you seen a big foot around here"". They were both scared and shaking so thats when i knew that they saw something, so I took two spotlights a 5 million and a 3.5 million, my Uncle had a 1 million light also. We asked them to show us, in which they were both agreed after the calmed down a bit. we left there car and took my Aunts van and headed north, they showed us the spot and i marked by throwing out a full water bottle and I asked them which way do you think it was going and if they seen more, she said that ""it might of been moving West"", so we headed West bound on Country Rd. 6 just North of White Shield as we headed about 1-2miles west from Country Rd. 7 we turned North bound on Country Rd. 5 as we were spotlighting in the cut Wheat Fields. I was on the passenger side and my Uncle was driving we were both looking around with the lights when I picked up a bright RED reflection of eyes, as i told my Uncle to stop i notice that this thing was on all fours  moving west towards us and then it stop and what looked like it sat down, i mean it looked like a gorrilla from the movies. As we stoped and sat there we must of been watching it for about 3-5mins, It seemed unreal to me but as i started to realize that this is happing and that we don't have gorrilla's in North Dakota that is when my Uncle notice two more sets of eyes behind the one we were watching, my cousins started screaming and cussing at us to leave and to get the Cops and Game & Fish, so after that we started to turn around and head back in i noticed it stood up that's when i said hurry up lets get Game & Fish out here. When i arrived at my house my cousin called the BIA and they said they will contact the Game Warden. My Uncle and I told my cousin to tell them that we are going to go back out there and wait for the Game Warden, my cousins stayed. My cousin husband wanted to go with us. As we started to turn on country Rd. 5 thats when we noticed the smell of pee and old sweet and slew odor, it wasn't us because i checked the smell inside that van and it smelled better then the  outside. We stoped and jumped out and started to listen, thats when we noticed the truck lights on Country Rd. 6 it was the Game Warden. We flashed him down and talked to him and gave all the info so he said he will check the field out and left moving East with all his spotlights on. As we talked my Uncle said ""try to call it"" so my cousin husband made a howling sound and sure enough another sound came back a faint bellow South West of us about 1/2-1mi. There is no cattle around there so we started to head in that direction and stoped where we thought the sound was at. we had the windows down and started to listen for any sound, there was none not even crickets or birds or grasshoppers chirping so we turned around and left, stoped Game Warden and we stated looking untill 7am that morning, we noticed that there were lots of slew and deep weeds a place for a good hiding spot. On the next day we started looking for prints and we found some impressions in the cut wheat field and ditch, the prints were close to 15 1/5 inches and about 5 1/2 - 6 inches wide. We stoped a BIA officer and told him that we found some imprssions so he came out there and took some pictures, the foot prints pointed in a East direction as we started to track them we found 3 other sets that seemed like they were zigziging around, after an 30min or so we track it to a tree row where it seemed that there were spots of cut hay put into piles and pine tree branches 2in thick snaped off, the sap still ozzing out from the break, and sunflower or tall weeds stems in that spot, there was no tall weeds around that spot, so we walked around and found a slew just at the end of the tree row about 200yards away, had the same stems from the weeds. On the 31st of Aug my Uncle and I kinda made a path of direction, it looks like they follow slews and small ponds maybe for drinking water. The direction was taking them to Lake Sakakawea, has we tested taht theory we were West of White Shield when we heard a low scream, a dog that lived at a farm house started to bark. Where the spot we seen it and to the location where we heard it, are theory was correct. On Sept 4 since we left them alone for a couple of days we went to the spot where we thought the would be at.. NO Luck they weren't there so that was the end of the search or hunt, until Sept 9 when 6 kids saw a tall black thing running on two legs heading West on BIA 1 just 1/2mi North of White Shield, I talked to the kids and the said when it was running in the field it was black and on two legs and as it crossed the road it took 3 steps and it was on the other side. This was around 9pm and the sun was setting. By the time the kids told it was dark, my Uncle and I drove back there and found nothing, the next day Sept 10 we tried to find the path where this thing or big foot crossed, we are still looking for signs or even better prints. Thats it for now.. will update later","From Garrison take Highway 37 west, keep going west when you hit 1804 to White Shild then turn North on BIA 1 which takes you thru White Shield, North of White Shield about 1/2 mile you will hit Country Road 6 that where big foot was seen crossing the road...",McLean County,North Dakota,Summer,Report 12562: Multiple witness sighting near White Shield,47.71188,-101.8886,2005-08-27,12562,Class A,c8rx3mwvze,75.24,60.489999999999995,45.74,48.76,0.7,NA,0.78,0,0,NA,1011.85,Clear throughout the day.,0,NA,316,8.84,2005
Foot prints where found in the bad lands of North Dakota near Mandaree.,"The location was about 10 to 15 miles south of Mandaree ND.The landscape was the bad lands,steep clay hills,some brush and trees.",McKenzie County,North Dakota,Winter,Report 8130: Tribal government employee photographs line of tracks in snow,47.63297,-102.7291,2004-02-26,8130,Class B,c8qyyr6fnm,39.25,35.21,31.17,30.5,0.97,NA,0.21,2.069,0.73,snow,NA,Mixed precipitation throughout the day.,0,NA,108,2.16,2004
"The following occured in 1975 when I was 14 years old.  My family lived in Bellevue, Nebraska (near Offutt Air Force Base) where my father had recently retired from the U.S. Air Force after 24 years of active duty.  I now live in Florida. Actually, this incident was a series of three encounters over a three-day period.  A bit of background seems necessary.  My girlfriend lived on the next block.  Our houses were separated by a field with a stand of trees on the north side of the field; the stand of trees was approximately 20 feet wide at that time and ran East-West.  The stand of trees ran to the East to Bellevue Blvd.  On the East side of Bellevue Blvd. was a heavely forested area that was either a part of, or bordered, Fontenelle Forest.  I would go over to my girlfriend's  house and visit until it was time for me to go back home (my curfew was 10:00 pm during the summer). The first incident occurred as I was crossing the field on my way home around 10:00 p.m.  I was walking in a NW direction with the thick stand of trees to my right.  I heard heavy foot-falls and occasional snapping of branchs within the stand of trees.  Whatever it was within the trees was paralleling me.  When I stopped, it stopped.  When I began walking again, it began walking.  It was very dark in the field and I could not see anything.  After several stops and starts, I became somewhat frightened and ran the rest of the way across the field, climbed over the 4-foot chainlink fence that surrounded our backyard, and ran up our backyard (it was basically a hill) and into the house. The second incident happened the very next night.  This occurrence happened exactly the same way as the first incident. The final incident happened on the third night.  As I crossed the field I again heard the heavy foot-falls and snapping of small branches within the stand of trees.  However, this time I was not being paralled; the thing was heading in a SW direction which placed it on an intercept course to my NW direction of travel.  I could hear it getting closer, but could not see anything because of the extreme darkness.  Near the point of interception, I began to smell a foul odor.  The odor was very stong and almost made me gag.  By now the foot-falls were very near.  I could feel the thing cross in front of me very close, but could not see anything.  The foot-falls were now on my left.  At this point I became extremely scared and began running across the field.  I'm not sure, but I suspect I cleared our 4-foot fence without even touching it. About half-way up the hill (our backyard) I stopped.  I can't explain why I did this, but I simply felt compelled to do so.  I turned around and saw what had crossed my path.  The backyard and a portion of the field was nicely illuminated by a flood-light my father had put on the back of the house. Standing at the edge of the field next to a clothes-line pole, was a creature on two legs.  It was covered in dark brown hair.  I estimate the height at 7 feet.  This is based on the fact that the clothes-line pole was 6 feet in height and the creature's head was a good foot above the top of the pole.  I was approximately 40-50 feet from it, but could not make out any facial features.  I recall that there was eye-shine, but I can't recall the color, possibly reddish.  The thing was extremely thick across the chest.  The arms hung almost to the knees.  This thing was very muscular.  We stood there staring at each other for approximately 20 seconds before I turned and ran into my house (I chickened out before it did). There is no question in mind that what I saw was a bigfoot.","Georgia Ave. and Tulip Ln. run East-West  My house was approximately 1/3 of a mile from Bellevue Blvd., which ran along the heavily forested area of Fontenelle Forest.",Sarpy County,Nebraska,Summer,Report 7809: Teen has nighttime sighting near Fontenelle Forest,41.13399999999999,-95.88,2005-01-06,7809,Class A,9z7f40nqfj,9.8,8.595,7.39,1.68,0.82,0.31,0.86,9e-4,0.52,snow,1020.34,Mostly cloudy starting in the evening.,2,8.21,212,1.49,2005
"We live near Omaha, Nebraska. I am speaking on behalf of my mother. My mother first saw this ""thing "" when she was 10 years old. You have to understand the way the neighborhood we live in is set up. The house my mother lived in when she was 10 is less than a quarter mile away from the house that she lives in today. All of the yards in that neighborhood sort of connect with somewhat of a gully in the middle. The first time my mother had any knowledge of the thing, her sister and her were swinging on a double tire swing in her backyard. The next thing my mother knew, her sister had jumped off the swing and was running and screaming. My mom didn't know what to do, so she ran after her sister into the house. Her sister was hysterical saying she saw something in the back wooded area of their yard. I guess my grandpa did find some sort of large footprints. This was the first incident. The next incident was when my mom was outside her house when she was young. She saw a large thing covered in hair walking across her driveway. My mom told me that the ""thing"" walked almost as if it was bo-legged. She also said it's shoulders moved from side to side as it walked. Now my mother lives in the house I grew up in. As recently as two weeks ago, something has been seen in my mother's back yard. It hasn't only been seen by my mother, but also by my sister who frequently stays at my mom's house. About three years ago (April of 2002) is when my mom had her most vivid and frightening encounter with the ""thing"". She was letting our dogs out in the backyard and they both went barreling towards the fence surrounding our yard barking. My mom walked out in the yard, thinking nothing other than the dogs were just being dogs, and was standing waiting for them to use the bathroom. It was then when she noticed something moving in the next yard. She said it was about seven feet tall and standing behind a tree. She said as fast as the dogs had ran up to the fence to bark, they were running back to the house yelping. My mom said she froze. She always tells me the fear that she feels when she sees this ""thing"" is overwhelming. She said it then ""leaped"" from behind one tree to another. That's when she started running. She said she looked behind her and it was now coming forward towards her. She ran in the house and locked the doors. My mom lives in a brick house and she has also told me that on occasion she will hear something that sounds like something beating or throwing itself up against the side of her house. My mom is completely afraid of this ""thing"". We would really like someone to contact us or something. My mom doesn't really talk about this to anyone because she feels that they'd all think she was crazy. We don't know what to do but we do need some help or advice.",(Location withheld by request).,Douglas County,Nebraska,Summer,Report 12482: Various sightings by residents near the Missouri River,41.238,-95.92,2005-08-13,12482,Class A,9z7f971hy0,73.19,64.935,56.68,62.29,0.8,0.44,0.28,0.0018,1,rain,1015.76,Light rain until afternoon.,8,9.7,53,3.86,2005
